시도,시구군,읍면동,지번,아파트명,전체주소,전용면적,층,건축년도,거래년도,거래월,거래금액,위도,경도,FCN예측값
강원도,강릉시,견소동 ,202,송정한신아파트,강원도 강릉시 견소동 202 송정한신아파트,84.95,8,1997,2017,11,,37.7744,128.9382,1.67E+08
강원도,강릉시,견소동 ,289,송정해변신도브래뉴아파트,강원도 강릉시 견소동 289 송정해변신도브래뉴아파트,59.99,12,2005,2017,11,,37.7748,128.9397,1.82E+08
강원도,강릉시,교동 ,1759,현대하이빌아파트,강원도 강릉시 교동 1759 현대하이빌아파트,122.74,1,1999,2017,11,,37.7653,128.8834,2.57E+08
강원도,강릉시,교동 ,1766,교동주공3단지아파트,강원도 강릉시 교동 1766 교동주공3단지아파트,59.74,11,2002,2017,11,,37.7631,128.8786,1.77E+08
강원도,강릉시,교동 ,1766,교동주공3단지아파트,강원도 강릉시 교동 1766 교동주공3단지아파트,59.86,10,2002,2017,11,,37.7631,128.8786,1.79E+08
강원도,강릉시,교동 ,1766,교동주공3단지아파트,강원도 강릉시 교동 1766 교동주공3단지아파트,59.86,9,2002,2017,11,,37.7631,128.8786,1.79E+08
강원도,강릉시,교동 ,1767,교동2차현대아파트,강원도 강릉시 교동 1767 교동2차현대아파트,84.97,9,1999,2017,11,,37.763,128.8805,2.01E+08
강원도,강릉시,교동 ,1775,부영아파트,강원도 강릉시 교동 1775 부영아파트,59.99,2,2003,2017,11,,37.7615,128.8764,1.65E+08
강원도,강릉시,교동 ,1780,부영3차아파트,강원도 강릉시 교동 1780 부영3차아파트,84.93,11,2001,2017,11,,37.7604,128.8747,2.02E+08
강원도,강릉시,교동 ,1780,부영3차아파트,강원도 강릉시 교동 1780 부영3차아파트,84.93,6,2001,2017,11,,37.7604,128.8747,2.02E+08
강원도,강릉시,교동 ,1780,부영3차아파트,강원도 강릉시 교동 1780 부영3차아파트,84.93,10,2001,2017,11,,37.7604,128.8747,2.02E+08
강원도,강릉시,교동 ,18-16,교동대림아파트,강원도 강릉시 교동 18-16 교동대림아파트,84.98,9,1997,2017,11,,37.7718,128.898,1.65E+08
강원도,강릉시,교동 ,348-6,제2차서일아파트,강원도 강릉시 교동 348-6 제2차서일아파트,27.75,1,1987,2017,11,,37.7716,128.8971,3.14E+07
강원도,강릉시,교동 ,357,교동 이편한세상아파트,강원도 강릉시 교동 357 교동 이편한세상아파트,84.72,20,2006,2017,11,,37.7707,128.8954,2.43E+08
강원도,강릉시,교동 ,357,교동 이편한세상아파트,강원도 강릉시 교동 357 교동 이편한세상아파트,123.76,4,2006,2017,11,,37.7707,128.8954,3.10E+08
강원도,강릉시,교동 ,357,교동 이편한세상아파트,강원도 강릉시 교동 357 교동 이편한세상아파트,123.76,12,2006,2017,11,,37.7707,128.8954,3.39E+08
강원도,강릉시,교동 ,707-53,삼정아파트,강원도 강릉시 교동 707-53 삼정아파트,84.82,1,1990,2017,11,,37.7664,128.8904,9.44E+07
강원도,강릉시,교동 ,853-14,현대그린아파트,강원도 강릉시 교동 853-14 현대그린아파트,84.86,3,1992,2017,11,,37.7611,128.8883,1.18E+08
강원도,강릉시,내곡동 ,136,삼익타워맨션아파트,강원도 강릉시 내곡동 136 삼익타워맨션아파트,84.86,10,1993,2017,11,,37.742,128.8907,1.23E+08
강원도,강릉시,내곡동 ,136,삼익타워맨션아파트,강원도 강릉시 내곡동 136 삼익타워맨션아파트,129.41,10,1993,2017,11,,37.742,128.8907,1.57E+08
강원도,강릉시,내곡동 ,476,한라아파트,강원도 강릉시 내곡동 476 한라아파트,59.97,14,1997,2017,11,,37.7442,128.881,1.24E+08
강원도,강릉시,내곡동 ,476,한라아파트,강원도 강릉시 내곡동 476 한라아파트,59.97,17,1997,2017,11,,37.7442,128.881,1.25E+08
강원도,강릉시,내곡동 ,476,한라아파트,강원도 강릉시 내곡동 476 한라아파트,84.95,11,1997,2017,11,,37.7442,128.881,1.66E+08
강원도,강릉시,내곡동 ,616,제2차강부임대주택,강원도 강릉시 내곡동 616 제2차강부임대주택,24.8,4,1988,2017,11,,37.7408,128.8774,2.80E+07
강원도,강릉시,내곡동 ,623,내곡주공아파트,강원도 강릉시 내곡동 623 내곡주공아파트,39.3,3,1989,2017,11,,37.7412,128.879,5.80E+07
강원도,강릉시,내곡동 ,623,내곡주공아파트,강원도 강릉시 내곡동 623 내곡주공아파트,39.69,5,1989,2017,11,,37.7412,128.879,5.58E+07
강원도,강릉시,내곡동 ,Jan-75,관동2차아파트,강원도 강릉시 내곡동 75-1 관동2차아파트,49.94,3,1992,2017,11,,37.7456,128.8898,5.98E+07
강원도,강릉시,노암동 ,390,노암한라1차아파트,강원도 강릉시 노암동 390 노암한라1차아파트,136.42,12,1994,2017,11,,37.7447,128.9019,1.52E+08
강원도,강릉시,노암동 ,711,신화아파트,강원도 강릉시 노암동 711 신화아파트,84.95,10,1998,2017,11,,37.7483,128.8979,1.61E+08
강원도,강릉시,노암동 ,711,신화아파트,강원도 강릉시 노암동 711 신화아파트,84.95,8,1998,2017,11,,37.7483,128.8979,1.60E+08
강원도,강릉시,노암동 ,835,노암2주공아파트,강원도 강릉시 노암동 835 노암2주공아파트,59.3,2,1984,2017,11,,37.7452,128.9054,6.83E+07
강원도,강릉시,노암동 ,844,양우내안애아파트,강원도 강릉시 노암동 844 양우내안애아파트,59.69,12,2009,2017,11,,37.7517,128.9035,1.54E+08
강원도,강릉시,노암동 ,844,양우내안애아파트,강원도 강릉시 노암동 844 양우내안애아파트,84.44,6,2009,2017,11,,37.7517,128.9035,2.26E+08
강원도,강릉시,송정동 ,1061,경포대신도브래뉴로얄카운티아파트,강원도 강릉시 송정동 1061 경포대신도브래뉴로얄카운티아파트,155.84,2,2007,2017,11,,37.7785,128.9341,3.63E+08
강원도,강릉시,송정동 ,Oct-39,삼익비치맨션,강원도 강릉시 송정동 39-10 삼익비치맨션,84.54,2,1992,2017,11,,37.7788,128.9331,1.18E+08
강원도,강릉시,송정동 ,940,삼우은성맨션아파트,강원도 강릉시 송정동 940 삼우은성맨션아파트,72.86,4,1992,2017,11,,37.7703,128.9212,1.21E+08
강원도,강릉시,송정동 ,940,삼우은성맨션아파트,강원도 강릉시 송정동 940 삼우은성맨션아파트,72.86,1,1992,2017,11,,37.7703,128.9212,1.20E+08
강원도,강릉시,송정동 ,940,삼우은성맨션아파트,강원도 강릉시 송정동 940 삼우은성맨션아파트,84.96,12,1992,2017,11,,37.7703,128.9212,1.34E+08
강원도,강릉시,송정동 ,940-23,대림맨션아파트,강원도 강릉시 송정동 940-23 대림맨션아파트,84.99,8,1991,2017,11,,37.7695,128.9206,1.17E+08
강원도,강릉시,송정동 ,940-23,대림맨션아파트,강원도 강릉시 송정동 940-23 대림맨션아파트,135.38,6,1991,2017,11,,37.7695,128.9206,1.82E+08
강원도,강릉시,입암동 ,210,이안강릉타운아파트,강원도 강릉시 입암동 210 이안강릉타운아파트,122.72,9,2006,2017,11,,37.7558,128.9205,2.96E+08
강원도,강릉시,입암동 ,210,이안강릉타운아파트,강원도 강릉시 입암동 210 이안강릉타운아파트,122.72,8,2006,2017,11,,37.7558,128.9205,2.96E+08
강원도,강릉시,입암동 ,321,금호어울림아파트,강원도 강릉시 입암동 321 금호어울림아파트,123.65,4,2007,2017,11,,37.7536,128.9189,2.90E+08
강원도,강릉시,입암동 ,321,금호어울림아파트,강원도 강릉시 입암동 321 금호어울림아파트,123.09,11,2007,2017,11,,37.7536,128.9189,3.10E+08
강원도,강릉시,입암동 ,321,금호어울림아파트,강원도 강릉시 입암동 321 금호어울림아파트,157.22,5,2007,2017,11,,37.7536,128.9189,3.21E+08
강원도,강릉시,입암동 ,440,입암현대아파트,강원도 강릉시 입암동 440 입암현대아파트,59.96,10,1998,2017,11,,37.7529,128.9117,1.24E+08
강원도,강릉시,입암동 ,440,입암현대아파트,강원도 강릉시 입암동 440 입암현대아파트,59.96,14,1998,2017,11,,37.7529,128.9117,1.30E+08
강원도,강릉시,입암동 ,440,입암현대아파트,강원도 강릉시 입암동 440 입암현대아파트,84.9,14,1998,2017,11,,37.7529,128.9117,1.64E+08
강원도,강릉시,입암동 ,49,입암2단지주공아파트,강원도 강릉시 입암동 49 입암2단지주공아파트,39.69,4,1990,2017,11,,37.7639,128.9154,5.47E+07
강원도,강릉시,입암동 ,49,입암2단지주공아파트,강원도 강릉시 입암동 49 입암2단지주공아파트,39.69,5,1990,2017,11,,37.7639,128.9154,5.48E+07
강원도,강릉시,입암동 ,506-5,태평양아파트,강원도 강릉시 입암동 506-5 태평양아파트,34.72,12,1998,2017,11,,37.7564,128.9128,4.52E+07
강원도,강릉시,입암동 ,506-5,태평양아파트,강원도 강릉시 입암동 506-5 태평양아파트,39.35,6,1998,2017,11,,37.7564,128.9128,5.65E+07
강원도,강릉시,입암동 ,506-9,대인3차아파트,강원도 강릉시 입암동 506-9 대인3차아파트,59.69,14,1993,2017,11,,37.7565,128.9121,9.16E+07
강원도,강릉시,입암동 ,506-9,대인3차아파트,강원도 강릉시 입암동 506-9 대인3차아파트,59.69,4,1993,2017,11,,37.7565,128.9121,8.41E+07
강원도,강릉시,입암동 ,641,입암1주공아파트,강원도 강릉시 입암동 641 입암1주공아파트,39.72,2,1986,2017,11,,37.7548,128.9078,5.62E+07
강원도,강릉시,입암동 ,641,입암1주공아파트,강원도 강릉시 입암동 641 입암1주공아파트,39.72,4,1986,2017,11,,37.7548,128.9078,5.42E+07
강원도,강릉시,입암동 ,685,입암4주공아파트,강원도 강릉시 입암동 685 입암4주공아파트,59.8,6,1996,2017,11,,37.761,128.9155,1.14E+08
강원도,강릉시,입암동 ,685,입암4주공아파트,강원도 강릉시 입암동 685 입암4주공아파트,39.99,3,1996,2017,11,,37.761,128.9155,6.73E+07
강원도,강릉시,입암동 ,709-1,입암6주공아파트,강원도 강릉시 입암동 709-1 입암6주공아파트,49.62,8,1998,2017,11,,37.7587,128.9188,9.62E+07
강원도,강릉시,입암동 ,709-1,입암6주공아파트,강원도 강릉시 입암동 709-1 입암6주공아파트,49.62,11,1998,2017,11,,37.7587,128.9188,9.75E+07
강원도,강릉시,입암동 ,709-1,입암6주공아파트,강원도 강릉시 입암동 709-1 입암6주공아파트,59.99,6,1998,2017,11,,37.7587,128.9188,1.19E+08
강원도,강릉시,저동 ,04월 04일,경포현대아파트,강원도 강릉시 저동 4-4 경포현대아파트,59.79,5,1996,2017,11,,37.8021,128.8996,1.25E+08
강원도,강릉시,저동 ,04월 04일,경포현대아파트,강원도 강릉시 저동 4-4 경포현대아파트,59.79,1,1996,2017,11,,37.8021,128.8996,1.12E+08
강원도,강릉시,지변동 ,334,덕원아파트,강원도 강릉시 지변동 334 덕원아파트,59.96,4,1998,2017,11,,37.7781,128.8731,1.01E+08
강원도,강릉시,지변동 ,334,덕원아파트,강원도 강릉시 지변동 334 덕원아파트,33.47,3,1998,2017,11,,37.7781,128.8731,4.35E+07
강원도,강릉시,지변동 ,334,덕원아파트,강원도 강릉시 지변동 334 덕원아파트,33.47,8,1998,2017,11,,37.7781,128.8731,4.33E+07
강원도,강릉시,초당동 ,128,초당현대아파트,강원도 강릉시 초당동 128 초당현대아파트,124.28,9,1995,2017,11,,37.7838,128.9181,1.44E+08
강원도,강릉시,초당동 ,128,초당현대아파트,강원도 강릉시 초당동 128 초당현대아파트,84.48,6,1995,2017,11,,37.7838,128.9181,1.46E+08
강원도,강릉시,초당동 ,128,초당현대아파트,강원도 강릉시 초당동 128 초당현대아파트,59.88,2,1995,2017,11,,37.7838,128.9181,1.14E+08
강원도,강릉시,초당동 ,135-1,이화해변아파트,강원도 강릉시 초당동 135-1 이화해변아파트,29.82,1,1988,2017,11,,37.7839,128.9162,3.63E+07
강원도,강릉시,초당동 ,143,초당우성아파트,강원도 강릉시 초당동 143 초당우성아파트,59.91,3,1997,2017,11,,37.783,128.914,1.27E+08
강원도,강릉시,초당동 ,143,초당우성아파트,강원도 강릉시 초당동 143 초당우성아파트,59.91,1,1997,2017,11,,37.783,128.914,1.18E+08
강원도,강릉시,초당동 ,143,초당우성아파트,강원도 강릉시 초당동 143 초당우성아파트,59.91,17,1997,2017,11,,37.783,128.914,1.32E+08
강원도,강릉시,초당동 ,149-1,초당동부아파트,강원도 강릉시 초당동 149-1 초당동부아파트,59.84,7,1997,2017,11,,37.784,128.9139,1.32E+08
강원도,강릉시,초당동 ,181,초당유화2차아파트,강원도 강릉시 초당동 181 초당유화2차아파트,78.17,6,1994,2017,11,,37.7855,128.9142,1.27E+08
강원도,강릉시,초당동 ,182-2,초당유화1차아파트,강원도 강릉시 초당동 182-2 초당유화1차아파트,49.82,1,1993,2017,11,,37.7861,128.9136,8.16E+07
강원도,강릉시,초당동 ,554,초당동청마루아파트,강원도 강릉시 초당동 554 초당동청마루아파트,116.63,3,2007,2017,11,,37.7829,128.9153,2.69E+08
강원도,강릉시,포남동 ,1065,포남1주공아파트,강원도 강릉시 포남동 1065 포남1주공아파트,41.98,4,1981,2017,11,,37.7752,128.9091,5.72E+07
강원도,강릉시,포남동 ,1065,포남1주공아파트,강원도 강릉시 포남동 1065 포남1주공아파트,41.98,2,1981,2017,11,,37.7752,128.9091,5.84E+07
강원도,강릉시,포남동 ,1065,포남1주공아파트,강원도 강릉시 포남동 1065 포남1주공아파트,42.55,4,1982,2017,11,,37.7752,128.9091,5.70E+07
강원도,강릉시,포남동 ,1108,강릉5차아파트,강원도 강릉시 포남동 1108 강릉5차아파트,59.8,2,1988,2017,11,,37.7677,128.9042,7.39E+07
강원도,강릉시,포남동 ,1110-9,,강원도 강릉시 포남동 1110-9 ,23.76,3,1986,2017,11,,37.7669,128.9039,2.53E+07
강원도,강릉시,포남동 ,1200,포남동2주공아파트,강원도 강릉시 포남동 1200 포남동2주공아파트,39.3,4,1989,2017,11,,37.781,128.9158,6.17E+07
강원도,강릉시,포남동 ,1241-6,미진2차맨션아파트,강원도 강릉시 포남동 1241-6 미진2차맨션아파트,82.5,6,1990,2017,11,,37.7704,128.9103,1.06E+08
강원도,강릉시,포남동 ,1293-1,일송아파트,강원도 강릉시 포남동 1293-1 일송아파트,58.87,13,1995,2017,11,,37.7717,128.9148,1.11E+08
강원도,강릉시,포남동 ,1293-1,일송아파트,강원도 강릉시 포남동 1293-1 일송아파트,59.14,3,1995,2017,11,,37.7717,128.9148,1.13E+08
강원도,강릉시,포남동 ,1293-1,일송아파트,강원도 강릉시 포남동 1293-1 일송아파트,59.14,2,1995,2017,11,,37.7717,128.9148,1.12E+08
강원도,강릉시,포남동 ,1293-2,청송아파트,강원도 강릉시 포남동 1293-2 청송아파트,84.42,2,1994,2017,11,,37.7712,128.9134,1.29E+08
강원도,강릉시,포남동 ,1293-2,청송아파트,강원도 강릉시 포남동 1293-2 청송아파트,84.42,11,1994,2017,11,,37.7712,128.9134,1.45E+08
강원도,강릉시,포남동 ,436-1,정아새솔아파트,강원도 강릉시 포남동 436-1 정아새솔아파트,59.84,5,1993,2017,11,,37.7763,128.9126,8.85E+07
강원도,강릉시,홍제동 ,1037,우미린아파트,강원도 강릉시 홍제동 1037 우미린아파트,84.99,15,2016,2017,11,,37.756,128.8683,3.24E+08
강원도,강릉시,홍제동 ,1055,홍제한신휴플러스아파트,강원도 강릉시 홍제동 1055 홍제한신휴플러스아파트,59.96,15,2015,2017,11,,37.7501,128.8833,2.31E+08
강원도,강릉시,홍제동 ,122,홍제동우산아파트,강원도 강릉시 홍제동 122 홍제동우산아파트,82.67,2,1997,2017,11,,37.7511,128.8835,1.18E+08
강원도,강릉시,연곡면 영진리,12,부영사랑으로아파트,강원도 강릉시 연곡면 영진리 12 부영사랑으로아파트,59.99,1,2005,2017,11,,37.8696,128.8418,9.28E+07
강원도,강릉시,연곡면 영진리,305-2,삼우그린아파트,강원도 강릉시 연곡면 영진리 305-2 삼우그린아파트,43.2,14,1999,2017,11,,37.8678,128.8387,6.73E+07
강원도,강릉시,연곡면 영진리,305-2,삼우그린아파트,강원도 강릉시 연곡면 영진리 305-2 삼우그린아파트,30.24,12,1999,2017,11,,37.8678,128.8387,4.68E+07
강원도,강릉시,연곡면 영진리,305-2,삼우그린아파트,강원도 강릉시 연곡면 영진리 305-2 삼우그린아파트,43.2,2,1999,2017,11,,37.8678,128.8387,7.00E+07
강원도,강릉시,연곡면 영진리,305-2,삼우그린아파트,강원도 강릉시 연곡면 영진리 305-2 삼우그린아파트,30.24,13,1999,2017,11,,37.8678,128.8387,4.70E+07
강원도,강릉시,연곡면 영진리,305-2,삼우그린아파트,강원도 강릉시 연곡면 영진리 305-2 삼우그린아파트,43.2,11,1999,2017,11,,37.8678,128.8387,6.67E+07
강원도,강릉시,주문진읍 교항리,1256,주문진교항주공2단지,강원도 강릉시 주문진읍 교항리 1256 주문진교항주공2단지,49.85,9,2000,2017,11,,37.8747,128.8283,8.44E+07
강원도,강릉시,주문진읍 교항리,1256,주문진교항주공2단지,강원도 강릉시 주문진읍 교항리 1256 주문진교항주공2단지,49.85,11,2000,2017,11,,37.8747,128.8283,8.41E+07
강원도,강릉시,주문진읍 교항리,1256,주문진교항주공2단지,강원도 강릉시 주문진읍 교항리 1256 주문진교항주공2단지,49.85,13,2000,2017,11,,37.8747,128.8283,8.44E+07
강원도,고성군,간성읍 신안리,111,하얀어린이집,강원도 고성군 간성읍 신안리 111 하얀어린이집,39.36,6,1998,2017,11,,38.3793,128.4791,5.08E+07
강원도,고성군,간성읍 신안리,111,하얀어린이집,강원도 고성군 간성읍 신안리 111 하얀어린이집,39.36,2,1998,2017,11,,38.3793,128.4791,4.56E+07
강원도,고성군,거진읍 거진리,492,뉴빌리지아파트,강원도 고성군 거진읍 거진리 492 뉴빌리지아파트,84.98,2,2009,2017,11,,38.4458,128.4507,1.77E+08
강원도,고성군,거진읍 송포리,165,성원오션샹떼빌,강원도 고성군 거진읍 송포리 165 성원오션샹떼빌,70.64,5,2006,2017,11,,38.4349,128.455,1.75E+08
강원도,고성군,토성면 청간리,217,클레시움아파트,강원도 고성군 토성면 청간리 217 클레시움아파트,59.52,14,2006,2017,11,,38.2682,128.5547,1.70E+08
강원도,동해시,구미동 ,551,유성타워,강원도 동해시 구미동 551 유성타워,69.01,8,1997,2017,11,,37.4804,129.1281,1.07E+08
강원도,동해시,동회동 ,442,"대동,현대아파트","강원도 동해시 동회동 442 대동,현대아파트",45,1,1995,2017,11,,37.4873,129.1058,6.69E+07
강원도,동해시,동회동 ,442,"대동,현대아파트","강원도 동해시 동회동 442 대동,현대아파트",73.47,3,1996,2017,11,,37.4873,129.1058,1.23E+08
강원도,동해시,동회동 ,442,"대동,현대아파트","강원도 동해시 동회동 442 대동,현대아파트",84.55,3,1996,2017,11,,37.4873,129.1058,1.29E+08
강원도,동해시,동회동 ,90,협성1차 아파트,강원도 동해시 동회동 90 협성1차 아파트,59.6,2,1995,2017,11,,37.4872,129.1088,6.58E+07
강원도,동해시,발한동 ,599-1,우석아파트,강원도 동해시 발한동 599-1 우석아파트,32.28,2,1985,2017,11,,37.5395,129.0998,2.73E+07
강원도,동해시,발한동 ,599-45,경민아파트,강원도 동해시 발한동 599-45 경민아파트,53.14,1,1990,2017,11,,37.541,129.0999,4.10E+07
강원도,동해시,발한동 ,599-5,경민아파트,강원도 동해시 발한동 599-5 경민아파트,64.3,2,1991,2017,11,,37.5402,129.1006,6.39E+07
강원도,동해시,부곡동 ,Feb-31,삼화미성아파트,강원도 동해시 부곡동 31-2 삼화미성아파트,58.83,3,1991,2017,11,,37.5373,129.1091,4.87E+07
강원도,동해시,부곡동 ,5-82,일정골든타워,강원도 동해시 부곡동 5-82 일정골든타워,30.27,12,1996,2017,11,,37.5408,129.1092,2.82E+07
강원도,동해시,부곡동 ,Jan-73,동해아파트,강원도 동해시 부곡동 73-1 동해아파트,57.43,4,1981,2017,11,,37.5373,129.1017,6.42E+07
강원도,동해시,부곡동 ,80,썬샤인파크,강원도 동해시 부곡동 80 썬샤인파크,77.1,6,2005,2017,11,,37.5384,129.103,1.13E+08
강원도,동해시,부곡동 ,09월 02일,동성아파트,강원도 동해시 부곡동 9-2 동성아파트,58.66,3,1987,2017,11,,37.5384,129.1088,6.53E+07
강원도,동해시,북평동 ,151-5,북평주공2차아파트,강원도 동해시 북평동 151-5 북평주공2차아파트,39.3,4,1989,2017,11,,37.4808,129.1221,4.59E+07
강원도,동해시,북평동 ,151-5,북평주공2차아파트,강원도 동해시 북평동 151-5 북평주공2차아파트,39.3,5,1989,2017,11,,37.4808,129.1221,4.43E+07
