,시도,시구군,읍면동,지번,아파트명,전체주소,전용면적,층,건축년도,거래년도,거래월,거래금액,위도,경도
0,강원도,강릉시,견소동 ,202,송정한신아파트,강원도 강릉시 견소동 202 송정한신아파트,84.95,8,1997,2017,11,153318563.77893364,37.7744,128.9382
1,강원도,강릉시,견소동 ,289,송정해변신도브래뉴아파트,강원도 강릉시 견소동 289 송정해변신도브래뉴아파트,59.99,12,2005,2017,11,162746467.0762943,37.7748,128.9397
2,강원도,강릉시,교동 ,1759,현대하이빌아파트,강원도 강릉시 교동 1759 현대하이빌아파트,122.74,1,1999,2017,11,250488352.028234,37.7653,128.8834
3,강원도,강릉시,교동 ,1766,교동주공3단지아파트,강원도 강릉시 교동 1766 교동주공3단지아파트,59.74,11,2002,2017,11,172718359.36894882,37.7631,128.8786
4,강원도,강릉시,교동 ,1766,교동주공3단지아파트,강원도 강릉시 교동 1766 교동주공3단지아파트,59.86,10,2002,2017,11,172802383.07723534,37.7631,128.8786
5,강원도,강릉시,교동 ,1766,교동주공3단지아파트,강원도 강릉시 교동 1766 교동주공3단지아파트,59.86,9,2002,2017,11,172526430.14877117,37.7631,128.8786
6,강원도,강릉시,교동 ,1767,교동2차현대아파트,강원도 강릉시 교동 1767 교동2차현대아파트,84.97,9,1999,2017,11,213663740.8087517,37.763000000000005,128.8805
7,강원도,강릉시,교동 ,1775,부영아파트,강원도 강릉시 교동 1775 부영아파트,59.99,2,2003,2017,11,152528991.69455802,37.7615,128.8764
8,강원도,강릉시,교동 ,1780,부영3차아파트,강원도 강릉시 교동 1780 부영3차아파트,84.93,11,2001,2017,11,202224531.84041512,37.7604,128.8747
9,강원도,강릉시,교동 ,1780,부영3차아파트,강원도 강릉시 교동 1780 부영3차아파트,84.93,6,2001,2017,11,198614340.8760966,37.7604,128.8747
10,강원도,강릉시,교동 ,1780,부영3차아파트,강원도 강릉시 교동 1780 부영3차아파트,84.93,10,2001,2017,11,201888699.44467127,37.7604,128.8747
11,강원도,강릉시,교동 ,18-16,교동대림아파트,강원도 강릉시 교동 18-16 교동대림아파트,84.98,9,1997,2017,11,152080588.2331053,37.7718,128.898
12,강원도,강릉시,교동 ,348-6,제2차서일아파트,강원도 강릉시 교동 348-6 제2차서일아파트,27.75,1,1987,2017,11,43629651.23090029,37.7716,128.8971
13,강원도,강릉시,교동 ,357,교동 이편한세상아파트,강원도 강릉시 교동 357 교동 이편한세상아파트,84.72,20,2006,2017,11,250766907.46093714,37.7707,128.8954
